sku,name,mfg,part_type,model,size,color,category,sub_category,qty
52125-676,Trippledex,Schowalter LLC,Ergonomic,55-257-3977,3XL,Asian,Training,Hoses,4
76151-105,Andalax,Balistreri-Russel,throughput,83-503-6304,XS,Micronesian,Services,Hardware,5
61748-304,Ronstring,Jacobi Group,Business-focused,83-494-3013,XL,Alaskan Athabascan,Marketing,Hoses,6
51486-004,Fixflex,Goldner LLC,regional,02-714-7445,2XL,Cheyenne,Legal,Gaskets,5
0076-0902,Flexidy,"Cormier, Bins and Yost",Customizable,08-631-2447,L,White,Training,Filter,8
42549-644,Stim,Waelchi Group,optimizing,18-522-2743,S,Sioux,Sales,Filter,3
31722-208,Subin,Crooks-Pagac,client-driven,74-277-0192,S,Pima,Services,Pump,8
49999-924,Veribet,Stokes-Volkman,Cloned,70-782-7446,M,Pueblo,Marketing,Hardware,2
66969-6002,Latlux,Ziemann Inc,Extended,60-189-2666,M,Guatemalan,Human Resources,Hardware,2
49288-0893,Home Ing,Raynor-O'Conner,Virtual,46-328-5598,3XL,Black or African American,Sales,Hardware,9
62802-647,Zamit,Corwin-Runte,extranet,61-504-1423,L,Crow,Training,Pump,1
21695-879,Domainer,"Raynor, Lind and Wehner",framework,69-936-7214,XL,Asian,Support,Pump,8
54868-3437,Redhold,"McDermott, Ebert and Mueller",approach,96-851-7330,S,Iroquois,Engineering,Gaskets,9
53014-975,Opela,"Purdy, Ryan and Heaney",scalable,18-788-5217,XS,Shoshone,Support,Filter,1
59137-505,Toughjoyfax,Vandervort LLC,encoding,92-074-6562,3XL,Native Hawaiian,Human Resources,Pump,3
64205-506,Stronghold,"Nicolas, Lemke and Nolan",service-desk,39-275-5318,L,Black or African American,Support,Hardware,10
51346-029,Quo Lux,"Dare, Hintz and Stiedemann",encompassing,11-156-5635,S,Native Hawaiian and Other Pacific Islander (NHPI),Product Management,Filter,7
62032-111,Voyatouch,"Nolan, Bauch and Smitham",workforce,45-256-8652,2XL,Paiute,Research and Development,Hoses,9
72036-223,Bytecard,Bogan Group,disintermediate,23-992-4596,XL,Crow,Marketing,Filter,4
58232-4015,Viva,"Goodwin, Mayert and Block",coherent,74-011-1721,M,Guamanian,Legal,Hoses,8
47682-313,Greenlam,"Turcotte, Runte and Boyle",hierarchy,33-016-8077,S,Filipino,Support,Hardware,9
0025-1525,Bitwolf,Walter Inc,encompassing,78-637-1881,M,Puget Sound Salish,Services,Filter,6
55289-136,Toughjoyfax,"O'Conner, Shields and Veum",disintermediate,85-425-8605,3XL,Aleut,Training,Gaskets,8
41520-678,Andalax,Wunsch-Quitzon,Open-source,76-445-7916,L,Panamanian,Accounting,Hardware,7
68084-491,Overhold,"Sanford, Langworth and Littel",structure,69-346-3151,XS,Colombian,Human Resources,Hardware,10
52125-371,Subin,Crist LLC,flexibility,22-384-3522,M,Salvadoran,Product Management,Hoses,3
50965-123,Regrant,Waelchi Group,Enhanced,00-440-4249,L,Yakama,Research and Development,Hardware,3
0615-7688,Domainer,Haag LLC,workforce,79-438-7870,M,Thai,Marketing,Gaskets,7
36987-2133,Zoolab,Feest-Beatty,matrix,80-254-5296,M,Paraguayan,Product Management,Hardware,6
55154-6243,Solarbreeze,Wehner-Romaguera,system-worthy,73-090-2859,2XL,Menominee,Services,Gaskets,4